t;PS;PI1;PI2;PI3;PDG2;PDG3;PESSdc1;PESSdc2;PESSdc3;PESSch1;PESSch2;PESSch3;PD1;PD2;PD3;PWT1;PPV2;PPV3
  1.0000;   0.0000; 533.4324; 565.6874; 266.6283; 600.6874; 294.7743;   0.0000;   0.0000;   0.0000;  67.5676;   0.0000;   0.0000;  35.0000;  35.0000;  28.1460; 636.0000;   0.0000;   0.0000
  2.0000;   0.0000; 535.5531; 564.5036; 267.5228; 598.7536; 302.0855;   0.0000;   0.0000;   0.0000;  66.1969;   0.0000;   0.0000;  34.2500;  34.2500;  34.5627; 636.0000;   0.0000;   0.0000
  3.0000;   0.0000; 547.1598; 588.0486; 274.0938; 621.5486; 329.0121;   0.0000;   0.0000;   0.0000;  55.3402;   0.0000;   0.0000;  33.5000;  33.5000;  54.9183; 636.0000;   0.0000;   0.0000
  4.0000;   0.0000; 502.8499; 484.3291; 248.4708; 517.0791; 248.4708;   0.0000;   0.0000;   0.0000; 100.4001;   0.0000;   0.0000;  32.7500;  32.7500;   0.0000; 636.0000;   0.0000;   0.0000
  5.0000;   0.0000; 557.9954; 582.4293; 265.9248; 614.4293; 330.9958;   0.0000;   0.0000;   0.0000;  46.0046;   0.0000;   0.0000;  32.0000;  32.0000;  65.0710; 636.0000;   0.0000;   0.0000
  6.0000;   0.0000; 539.1221; 544.3301; 262.3185; 575.8301; 311.4303;   0.0000;   0.0000;   0.0000;  65.3779;   0.0000;   0.0000;  31.5000;  31.5000;  49.1118; 636.0000;   0.0000;   0.0000
  7.0000; 248.3215; 496.8051; 312.9609; 221.5635; 343.9609; 254.3794;   0.0000;   0.0000;   0.0000; 108.1949;   0.0000;   0.0000;  31.0000;  31.0000;  32.8160; 636.0000;   0.0000;   0.0000
  8.0000; 237.6431; 492.7966; 308.7491; 218.2388; 339.2491; 248.1903;   0.0000;   0.0000;   0.0000; 112.7034;   0.0000;   0.0000;  30.5000;  30.5000;  29.9516; 636.0000;   0.0000;   0.0000
  9.0000; 228.5329; 490.4642; 304.5372; 215.4422; 334.5372; 243.8327;   0.0000;   0.0000;   0.0000; 115.5358;   0.0000;   0.0000;  30.0000;  30.0000;  28.3905; 636.0000;   0.0000;   0.0000
 10.0000; 221.8289; 488.6175; 300.3254; 216.3896; 329.8254; 244.0278;   0.0000;   0.0000;   0.0000; 121.2825;   0.0000;   0.0000;  29.5000;  29.5000;  27.6382; 639.4000;   0.0000;   0.0000
 11.0000; 209.0811; 482.2861; 295.3772; 215.4708; 324.3772; 237.7494;   0.0000;   0.0000;   0.0000; 132.7139;   0.0000;   0.0000;  29.0000;  29.0000;  22.2786; 644.0000;   0.0000;   0.0000
 12.0000; 440.8190; 485.4423;  72.0000; 207.2633; 100.5000; 233.1994;   0.0000;   0.0000;   0.0000; 134.6577;   0.0000;   0.0000;  28.5000;  28.5000;  25.9360; 648.6000;   0.0000;   0.0000
 13.0000; 1117.8878; 425.2000; -228.0000; -92.7367;   0.0000; 136.5864;   0.0000;   0.0000;   0.0000; 200.0000; 200.0000; 200.0000;  28.0000;  28.0000;  29.3230; 653.2000;   0.0000;   0.0000
 14.0000; 1097.6402; 424.9500; -227.2500; -94.4219;   0.0000; 131.6094;   0.0000;   0.0000;   0.0000; 200.0000; 200.0000; 200.0000;  27.2500;  27.2500;  26.0313; 652.2000;   0.0000;   0.0000
 15.0000; 1080.3777; 421.1000; -226.5000; -95.3756;   0.0000; 127.5099;   0.0000;   0.0000;   0.0000; 200.0000; 200.0000; 200.0000;  26.5000;  26.5000;  22.8855; 647.6000;   0.0000;   0.0000
 16.0000; 1103.7195; 417.2500; -225.7500; -92.0959;   0.0000; 143.7703;   0.0000;   0.0000;   0.0000; 200.0000; 200.0000; 200.0000;  25.7500;  25.7500;  35.8662; 643.0000;   0.0000;   0.0000
