w1,PexPRO_17,PexPRO_23,PexPRO_30,QexPRO_17,QexPRO_23,QexPRO_30
0.400000,0.487156,0.593514,0.280141,0.000000,0.248832,0.231215
0.400000,0.489688,0.594849,0.278141,0.000000,0.244296,0.234527
0.400000,0.503653,0.620591,0.280447,0.000000,0.238741,0.251523
0.400000,0.455951,0.514999,0.259673,0.000000,0.238780,0.194754
0.400000,0.506539,0.618667,0.275651,0.000000,0.229879,0.255540
0.400000,0.490542,0.583223,0.266802,0.000000,0.228092,0.236934
0.400000,0.499722,0.530756,0.251559,0.000000,0.228457,0.213281
0.400000,0.494476,0.518296,0.246778,0.000000,0.225727,0.207546
0.400000,0.490298,0.508114,0.242397,0.000000,0.222901,0.203090
0.400000,0.486751,0.499920,0.242080,0.000000,0.220579,0.202288
0.400000,0.524523,0.379676,0.305568,0.000000,0.205105,0.245880
0.400000,0.568426,0.079676,0.227044,0.000000,0.081131,0.189735
0.400000,0.425200,-0.220324,-0.072955,0.000000,0.000000,0.074456
0.400000,0.424950,-0.227250,-0.094438,0.000000,0.000000,0.098695
0.400000,0.421100,-0.226500,-0.095388,0.000000,0.000000,0.095623
0.400000,0.417250,-0.225750,-0.092114,0.000000,0.000000,0.107814
0.400000,0.413400,-0.225000,-0.092732,0.000000,0.000000,0.105938
0.400000,0.407666,-0.217911,-0.051787,0.000000,0.000000,0.088081
0.400000,0.569576,0.082089,0.248213,0.000000,0.062865,0.197289
0.400000,0.514178,0.382089,0.334818,0.000000,0.213161,0.240794
0.400000,0.472454,0.489800,0.287125,0.000000,0.234388,0.192168
0.400000,0.478825,0.519342,0.301186,0.000000,0.249259,0.191092
0.400000,0.480106,0.538019,0.313753,0.000000,0.264745,0.183588
0.400000,0.488255,0.571329,0.328876,0.000000,0.279605,0.184300
0.400000,0.537320,0.604378,0.339761,0.000000,0.296284,0.190423
0.400000,0.525333,0.593923,0.358890,0.000000,0.311949,0.190831
0.400000,0.511545,0.579652,0.377859,0.000000,0.328002,0.188677
0.400000,0.500851,0.578973,0.397356,0.000000,0.326341,0.191437
0.400000,0.485212,0.573815,0.414513,0.000000,0.310036,0.189307
0.400000,0.479999,0.650324,0.470165,0.000000,0.356198,0.217471
0.400000,0.463864,0.723177,0.524819,0.000000,0.402601,0.243831
0.400000,0.454227,0.808505,0.581659,0.000000,0.448224,0.277241
0.400000,0.477722,0.890860,0.632162,0.000000,0.479095,0.311433
0.400000,0.466703,0.974150,0.684809,0.000000,0.501103,0.347669
0.400000,0.452047,1.020796,0.728034,0.000000,0.524703,0.366622
0.400000,0.437433,1.111727,0.809340,0.000000,0.483689,0.436109
0.400000,0.422789,1.209408,0.874867,0.000000,0.482230,0.491074
0.400000,0.409394,1.257201,0.919857,0.000000,0.496391,0.516897
0.400000,0.396000,1.330281,0.979919,0.000000,0.488643,0.568062
0.400000,0.400540,1.422789,1.018212,0.000000,0.274179,0.599999
0.400000,0.420111,1.426588,1.077130,0.000000,0.272460,0.600000
0.400000,0.427718,1.388174,1.105960,0.000000,0.396712,0.600000
0.400000,0.357366,1.088174,0.981662,0.000000,0.599995,0.546668
0.400000,0.401171,0.788175,1.025401,0.000000,0.390826,0.599979
0.400000,0.393057,0.724996,1.040855,0.000000,0.345620,0.598075
0.400000,0.355211,0.699566,1.039417,0.000000,0.326852,0.572061
0.400000,0.346283,0.678006,1.042163,0.000000,0.311602,0.576358
0.400000,0.349012,0.483710,1.062926,0.000000,0.167273,0.595378
0.400000,0.480508,0.183710,0.852178,0.000000,0.000040,0.600000
0.400000,0.515619,0.161405,0.905269,0.000000,0.082080,0.600000
0.400000,0.501891,0.179560,0.900475,0.000000,0.103682,0.600000
0.400000,0.445868,0.184344,1.023496,0.000000,0.118950,0.600000
0.400000,0.467208,0.220588,1.039766,0.000000,0.119083,0.600000
0.400000,0.471579,0.220573,1.138344,0.000000,0.103913,0.600000
0.400000,0.477398,0.191810,1.068851,0.000000,0.157168,0.600000
0.400000,0.492617,0.185430,1.083724,0.000000,0.166546,0.600000
0.400000,0.492370,0.178560,1.084514,0.000000,0.175557,0.600000
0.400000,0.468968,0.159821,1.054566,0.000000,0.174729,0.600000
0.400000,0.468395,0.143193,1.024848,0.000000,0.175483,0.600000
0.400000,0.495272,0.135497,0.901339,0.000000,0.182937,0.600000
0.400000,0.473663,0.180094,0.938416,0.000000,0.079610,0.600000
0.400000,0.460107,0.162139,0.921009,0.000000,0.079369,0.600000
0.400000,0.466784,0.149116,0.859737,0.000000,0.082781,0.600000
0.400000,0.472263,0.135119,0.818327,0.000000,0.084419,0.600000
0.400000,0.460998,0.117680,0.804250,0.000000,0.083476,0.600000
0.400000,0.438036,0.247784,0.721331,0.000000,0.191427,0.600000
0.400000,0.352931,0.547784,0.797746,0.000000,0.416427,0.600000
0.400000,0.363752,0.847783,0.787248,0.000000,0.518220,0.600000
0.400000,0.340394,1.025235,0.780258,0.000000,0.342509,0.600000
0.400000,0.340347,0.997735,0.782101,0.000000,0.335740,0.600000
0.400000,0.352554,0.976642,0.769425,0.000000,0.330932,0.600000
0.400000,0.353094,0.959220,0.762896,0.000000,0.326797,0.600000
0.400000,0.402735,1.095850,0.842488,0.000000,0.287266,0.600000
0.400000,0.450786,1.103430,0.868027,0.000000,0.267059,0.600000
0.400000,0.480437,1.122906,0.942700,0.000000,0.191944,0.571688
0.400000,0.526309,1.127206,0.957741,0.000000,0.178410,0.546355
0.400000,0.528612,1.128803,0.970818,0.000000,0.179255,0.547022
0.400000,0.537445,1.130298,0.966218,0.000000,0.177905,0.541286
0.400000,0.533173,1.129034,0.951944,0.000000,0.191286,0.562327
0.400000,0.543160,1.128658,0.939341,0.000000,0.199452,0.572405
0.400000,0.550947,1.129936,0.920216,0.000000,0.199312,0.561688
0.400000,0.558734,1.129715,0.847887,0.000000,0.206412,0.542574
0.400000,0.562464,1.127266,0.771043,0.000000,0.223225,0.532855
0.400000,0.523456,1.109643,0.762286,0.000000,0.241600,0.549685
0.400000,0.579063,0.984606,0.755115,0.000000,0.236144,0.571028
0.400000,0.584671,0.930109,0.751583,0.000000,0.227151,0.570496
0.400000,0.590273,0.912389,0.680076,0.000000,0.296958,0.557391
0.400000,0.577736,0.904637,0.629393,0.000000,0.323535,0.517732
0.400000,0.565635,0.879700,0.601980,0.000000,0.313316,0.497174
0.400000,0.596500,0.709309,0.672691,0.000000,0.293465,0.500073
0.400000,0.546992,0.409309,0.372691,0.000000,0.319268,0.336227
0.400000,0.547499,0.109809,0.284575,0.000000,0.111231,0.265133
0.400000,0.597995,-0.015869,0.239047,0.000000,0.016598,0.231127
0.400000,0.598745,-0.032477,0.207436,0.000000,0.003579,0.190892
0.400000,0.599495,-0.036491,0.176200,0.000000,0.000006,0.156200
0.400000,0.600246,-0.035746,0.149946,0.000000,0.000003,0.144977
0.420000,0.494398,0.588793,0.278328,0.000000,0.249426,0.229855
0.420000,0.496933,0.590125,0.276327,0.000000,0.244890,0.233167
0.420000,0.510901,0.615865,0.278635,0.000000,0.239335,0.250164
0.420000,0.463203,0.510274,0.257855,0.000000,0.239376,0.193391
0.420000,0.513793,0.613936,0.273838,0.000000,0.230474,0.254180
0.420000,0.497799,0.578490,0.264986,0.000000,0.228688,0.235573
0.420000,0.501308,0.529731,0.251167,0.000000,0.228590,0.212987
0.420000,0.496065,0.517271,0.246385,0.000000,0.225860,0.207252
0.420000,0.491889,0.507086,0.242004,0.000000,0.223035,0.202795
0.420000,0.488345,0.498891,0.241686,0.000000,0.220713,0.201993
0.420000,0.524398,0.372001,0.307560,0.000000,0.204039,0.247370
0.420000,0.557843,0.072001,0.219691,0.000000,0.075375,0.184220
0.420000,0.425200,-0.227999,-0.080309,0.000000,0.000000,0.085459
0.420000,0.424950,-0.227250,-0.094438,0.000000,0.000000,0.098695
